pop,asn,type
saopaulo,52915,route_server_peer
saopaulo,267516,route_server_peer
saopaulo,264217,route_server_peer
saopaulo,267202,route_server_peer
saopaulo,53019,route_server_peer
saopaulo,263089,route_server_peer
saopaulo,269314,route_server_peer
saopaulo,266959,route_server_peer
saopaulo,264920,route_server_peer
saopaulo,268336,route_server_peer
saopaulo,266995,route_server_peer
saopaulo,52937,route_server_peer
saopaulo,264956,route_server_peer
saopaulo,268372,route_server_peer
saopaulo,267083,route_server_peer
saopaulo,53010,route_server_peer
saopaulo,271477,route_server_peer
saopaulo,265135,route_server_peer
saopaulo,262496,route_server_peer
saopaulo,268240,route_server_peer
saopaulo,263096,route_server_peer
saopaulo,263934,route_server_peer
saopaulo,267593,route_server_peer
saopaulo,52527,route_server_peer
saopaulo,269667,route_server_peer
saopaulo,269129,route_server_peer
saopaulo,265080,route_server_peer
saopaulo,54825,route_server_peer
saopaulo,28171,route_server_peer
saopaulo,53097,route_server_peer
saopaulo,269484,route_server_peer
saopaulo,264577,route_server_peer
saopaulo,268593,route_server_peer
saopaulo,265954,route_server_peer
saopaulo,61686,route_server_peer
saopaulo,270425,route_server_peer
saopaulo,270735,route_server_peer
saopaulo,267513,route_server_peer
saopaulo,269118,route_server_peer
saopaulo,263154,route_server_peer
saopaulo,263541,route_server_peer
saopaulo,265998,route_server_peer
saopaulo,268890,route_server_peer
saopaulo,271347,route_server_peer
saopaulo,53052,route_server_peer
saopaulo,53162,route_server_peer
saopaulo,61893,route_server_peer
saopaulo,267458,route_server_peer
saopaulo,266020,route_server_peer
saopaulo,269208,route_server_peer
saopaulo,61652,route_server_peer
saopaulo,264998,route_server_peer
saopaulo,263507,route_server_peer
saopaulo,22616,route_server_peer
saopaulo,264360,route_server_peer
saopaulo,264346,route_server_peer
saopaulo,11014,route_server_peer
saopaulo,269215,route_server_peer
saopaulo,263411,route_server_peer
saopaulo,271016,route_server_peer
saopaulo,264492,route_server_peer
saopaulo,52842,route_server_peer
